,Country,HDI,Total Population (millions) 2015,Total Population (millions) 2030,Life expectancy,Gross national income (GNI) per capita,Inequality in income (%),Mean years of schooling,Mean years of schooling Female,Mean years of schooling Male,Inequality in education(%),Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015
0,Norway,0.9490000000000001,5.1999998093,5.900000095399999,81.7,67614.0,10.4,12.7,12.8,12.7,2.4,0.77,0.24,0.21,0.45
1,Australia,0.9390000000000001,24.0,28.5,82.5,42822.0,17.7,13.2,13.4,13.0,1.9,0.38,0.31,0.24,0.32
2,Switzerland,0.9390000000000001,8.3000001907,9.1999998093,83.1,56364.0,15.7,13.4,13.3,13.5,5.7,0.67,0.49,0.16,0.49
3,Germany,0.9259999999999999,80.6999969482,79.3000030518,81.1,45000.0,14.8,13.2,12.9,13.6,2.6,0.71,0.59,0.3,0.58
4,Denmark,0.925,5.6999998092999995,6.0,80.4,44519.0,14.3,12.7,12.6,12.9,3.0,0.76,0.55,0.32,0.59
5,Singapore,0.925,5.599999904600001,6.400000095399999,83.2,78162.0,,11.6,11.1,12.1,,1.34,1.05,0.3,1.02
6,Netherlands,0.924,16.8999996185,17.6000003815,81.7,46326.0,12.4,11.9,11.6,12.2,4.2,0.56,0.37,0.29,0.43
7,Ireland,0.9229999999999999,4.6999998093,5.1999998093,81.1,43798.0,16.3,12.3,12.5,11.9,3.0,1.17,0.6,0.29,0.77
8,Iceland,0.9209999999999999,0.30000001190000003,0.400000006,82.7,37065.0,11.7,12.2,12.2,12.6,2.5,0.7,0.46,0.6,0.58
9,Canada,0.92,35.9000015259,40.4000015259,82.2,42582.0,17.4,13.1,13.3,12.9,3.9,0.21,0.41,0.38,0.32
10,United States,0.92,321.799987793,355.799987793,79.2,53245.0,27.0,13.2,13.2,13.2,5.6,0.28,0.29,0.2,0.27
11,"Hong Kong, China (SAR)",0.917,7.3000001907000005,8.0,84.2,54265.0,,11.6,11.5,12.4,,0.55,0.85,0.42,0.64
12,New Zealand,0.915,4.5,5.0999999046,82.0,32870.0,,12.5,12.6,12.5,,0.61,0.36,0.32,0.45
